ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1327,FATÝH,Meridyen Medikal,Medikal,Molla Gürani Cad. No:27 MOLLA GÜRANÝ/FATÝH,0212 635 87 13,,,,,MOLLA GÜRANÝ,41.01358820100006,28.942349974000024
1327,FATÝH,Türk Kýzýlayý Fatih Þubesi,Kýzýlay,Kýztaþý Cad. No:23 ÝSKENDERPAÞA/FATÝH,0212 635 72 72,www.kizilay.org.tr,,,Yok,ÝSKENDERPAÞA,41.01614603100006,28.950806443000033
1327,FATÝH,Ýstanbul Üniversitesi Mediko Sosyal Merkezi,Poliklinik,Süleymaniye Cad. No:15 SÜLEYMANÝYE/FATÝH,0212 440 00 36,www.istanbulhalksagligi.gov.tr,Var,0,,SÜLEYMANÝYE,41.01420995700005,28.96192372400003
1327,FATÝH,ÝBB Fatih Hayvan Hastanesi,Veteriner,Su Yolu Sk. No:1 ZEYREK/FATÝH,0212 45 373 71,www.ibb.gov.tr,,0,Yok,ZEYREK,41.016744440000025,28.95371646800004
1327,FATÝH,Demir Medikal,Medikal,Bekarbey Sk. No:28 AKSARAY/FATÝH,,,,,,AKSARAY,41.00512297100005,28.94339993400007
1622,SÝLÝVRÝ,Silivri Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Gün Sk. No:7 MÝMAR SÝNAN/SÝLÝVRÝ,0212 727 22 03,www.istanbulhalksagligi.gov.tr,Yok,0,,MÝMAR SÝNAN,41.08763881300007,28.243108652000046
1237,ÇATALCA,Ýhsaniye Zehra Akdoðan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Saðlýk Ocaðý Cad. No:1 ÝHSANÝYE/ÇATALCA,0212 782 17 33,,Yok,0,,ÝHSANÝYE,41.25199050500004,28.365041446000077
1604,SARIYER,Bahçeköy Veteriner Kliniði,Veteriner,Mareþal Fevzi Çakmak Cad. No:4 KEMER/SARIYER,0212 226 26 74,www.bahcekoyvet.com,,0,Yok,BAHÇEKÖY KEMER,41.16950234900003,28.99076315700006
1604,SARIYER,Özel Büyükdere Kadýn Hastalýklarý Merkezi,Kadýn Hastalýklarý ve Saðlýðý Merkezi Özel,Çayýrbaþý Cad. No:95 BÜYÜKDERE/SARIYER,0212 242 32 89,,,3,,BÜYÜKDERE,41.15920616000005,29.038530257000048
1237,ÇATALCA,Uzmanlar Veteriner Kliniði,Veteriner,Atatürk Cad. No:32 FERHATPAÞA/ÇATALCA,0212 787 23 20,,,0,Yok,FERHATPAÞA,41.140741708000064,28.463822709000056
1604,SARIYER,PTT Evleri Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Camii.. Sk. No:17/1 PTT EVLERÝ/SARIYER,0212 271 34 95,,Yok,0,,PTT EVLERÝ,41.15566516100006,29.023059388000036
1622,SÝLÝVRÝ,Silivri 5 Nolu Cezaevi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Çanta Cad. No:162C SEMÝZKUMLAR/SÝLÝVRÝ,0212 726 00 32,,Yok,0,,SEMÝZKUMLAR,41.08706288500008,28.14920465000006
1604,SARIYER,Özel Denta Vita Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Meserburnu Cad. No:105 MERKEZ/SARIYER,0212 242 12 24,www.dentavita.com,,,,SARIYER MERKEZ,41.16734782200007,29.05711268400006
1421,KADIKÖY,Aktif Ýnter Optik,Optik,Halitaða Cad. No:34 RASÝMPAÞA/KADIKÖY,0216 550 08 75,,,,,RASÝMPAÞA,40.99253972100007,29.029830782000033
1823,KÜÇÜKÇEKMECE,Happy Vet Veteriner Kliniði,Veteriner,Kýrlangýç Sk. No:6 ATAKENT/KÜÇÜKÇEKMECE,0212 693 33 22,www.happyvetveteriner.com,,0,Yok,ATAKENT,41.057053652000036,28.78646913500006
1421,KADIKÖY,Anaconda Veteriner Kliniði,Veteriner,Atatürk Cad. No:34 SAHRAYICEDÝT/KADIKÖY,0216 360 36 06,www.anakondavet.com,,0,Yok,SAHRAYICEDÝT,40.98110536400003,29.082053736000034
1823,KÜÇÜKÇEKMECE,Zeynebiye Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Zeynebiye Cad. No:26 HALKALI MERKEZ/KÜÇÜKÇEKMECE,0212 548 22 82,,Yok,0,,HALKALI MERKEZ,41.03391342500004,28.80325556400004
