ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
2005,BAHÇELÝEVLER,Bahçelievler 6 Nolu Acil Yardým Ýstasyonu,Acil Yardým Ýstasyonu,Prof. Dr. M.Nevzat Pisak Cad. No:4/21 YENÝBOSNA MERKEZ/BAHÇELÝEVLER,0212 503 24 83,www.istanbulsaglik.gov.tr,Yok,3,Var,YENÝBOSNA MERKEZ,41.02027544400005,28.820086885000023
2004,BAÐCILAR,Baðcýlar Merkez Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,706. Sk. No:20 MERKEZ/BAÐCILAR,0212 462 42 02,,Yok,0,,MERKEZ,41.03197937200008,28.86043992900005
2016,ESENLER,Birlik Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,791. Sk. No:4 BÝRLÝK/ESENLER,0212 432 08 09,,Yok,0,,BÝRLÝK,41.04935479100004,28.867510864000053
2005,BAHÇELÝEVLER,Diþ Hekimi Cüneyt Evirgen,Muayenehane,Neyire Neyir Sk. No:35 BAHÇELÝEVLER/BAHÇELÝEVLER,0532 433 26 84,,,,,BAHÇELÝEVLER,41.001168000000064,28.870933000000036
2005,BAHÇELÝEVLER,Diþ Hekimi Filiz Kavuþturan,Muayenehane,Yýldýrým Beyazýt Cad. No:2 FEVZÝ ÇAKMAK/BAHÇELÝEVLER,0212 452 92 94,,,,,FEVZÝ ÇAKMAK,40.99935500000004,28.834271000000058
2049,ATAÞEHÝR,Uçar Optik,Optik,Kayýþdaðý Cad. No:58 ÝÇERENKÖY/ATAÞEHÝR,0216 577 78 79,,,,,ÝÇERENKÖY,40.97850804300003,29.114739150000048
1186,BEYOÐLU,Özel Mavi Polikliniði,Poliklinik Özel,Yýldýrým Beyazýt Sk. No:3 PÝYALEPAÞA/BEYOÐLU,0212 256 35 65 - 237 42 92,,Yok,0,,PÝYALEPAÞA,41.052450297000064,28.96026359500007
1421,KADIKÖY,Pets Veteriner Merkezi,Veteriner,Rüþtiye Sk. No:4/1 ZÜHTÜPAÞA/KADIKÖY,0216 347 03 25,www.pets.com.tr,,0,Yok,ZÜHTÜPAÞA,40.98307917900007,29.03960637800003
1739,ZEYTÝNBURNU,Özel Sante Plus Hastanesi,Özel Hastane,Prof. Dr. Turan Güneþ Cad. No:4 ÇIRPICI/ZEYTÝNBURNU,0212 664 65 55,www.santeplus.com.tr,Var,78,Var,ÇIRPICI,40.99845397400003,28.894278968000037
1708,ÜSKÜDAR,Pazarbaþý Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Þahbulut Sk. No:12 VALÝDE-Ý ATÝK/ÜSKÜDAR,0216 495 98 98,,Yok,0,,VALÝDE-Ý ATÝK,41.018669817000045,29.031092904000047
1421,KADIKÖY,Ýstanbul Medeniyet Üniversitesi Göztepe Eðitim ve Araþtýrma Hastanesi Hemodiyaliz ve Periton Merkezi,Diyaliz Merkezi,Fahrettin Kerim Gökay Cad. No:161/4 EÐÝTÝM/KADIKÖY,0216 566 40 00,www.sbgoztepehastanesi.gov.tr,Var,,Var,EÐÝTÝM,40.98614857000007,29.056858912000052
1663,ÞÝÞLÝ,Özel Þiþli Ekinci Teþhis Polikliniði,Poliklinik Özel,Abide-i Hürriyet Cad. No:187 MERKEZ/ÞÝÞLÝ,0212 241 68 11,www.ekincipoliklinigi.com,Yok,0,,MERKEZ,41.063438500000075,28.987533615000075
1186,BEYOÐLU,Piyalepaþa Aðaçlaraltý Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Piyale Havuzu Sk. No:1 KAPTANPAÞA/BEYOÐLU,0212 238 27 17,,Yok,0,,KAPTANPAÞA,41.045182673000056,28.96387814900004
2053,ESENYURT,Esenyurt Açsap Merkezi Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,1131. Sk. No:1 BAÐLARÇEÞME/ESENYURT,0212 620 35 45,www.istanbulhalksagligi.gov.tr,Yok,0,,BAÐLARÇEÞME,41.03929238300003,28.677134739000053
1810,KAÐITHANE,Hamidiye Semt Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Arife Sk. No:4 HAMÝDÝYE/KAÐITHANE,0212 294 98 22,,Yok,0,,HAMÝDÝYE,41.091734571000075,28.977864683000064
1823,KÜÇÜKÇEKMECE,Özel Sefa-Dent Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Sultan Murat Cad. No:115 SULTAN MURAT/KÜÇÜKÇEKMECE,0212 592 09 89,,,,,SULTAN MURAT,41.00233244100008,28.788094305000072
1663,ÞÝÞLÝ,Kurtuluþ Veteriner Kliniði,Veteriner,Kurtuluþ Cad. No:46 DUATEPE/ÞÝÞLÝ,0212 225 98 57,,,0,Yok,DUATEPE,41.051307895000036,28.983236404000024
2005,BAHÇELÝEVLER,Hekimbaþý Ömer Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Mustafa Kemalpaþa Cad. No:101/1 SOÐANLI/BAHÇELÝEVLER,0212 555 04 64,,Yok,0,,SOÐANLI,41.011022181000044,28.85546561600006
2005,BAHÇELÝEVLER,Diþ Hekimi Mustafa Pekmezci,Muayenehane,Adnan Kahveci Bulvarý No:75 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 442 11 72,,,,,BAHÇELÝEVLER,41.00264168800004,28.865071088000036
1852,ÜMRANÝYE,Mahmut Karaca Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Krizantem Sk. No:2 ÝSTÝKLAL/ÜMRANÝYE,0216 335 40 30,,Yok,0,,ÝSTÝKLAL,41.01554322100003,29.10029738700007
1823,KÜÇÜKÇEKMECE,Özel Dental Corner Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Turgut Özal Bulvarý No:24 ATAKENT/KÜÇÜKÇEKMECE,0212 678 45 55,,,,,ATAKENT,41.03534070100005,28.767269646000045
1852,ÜMRANÝYE,Özel Diþçim Aðýz ve Diþ Saðlýðý Merkezi,Özel Aðýz Diþ Saðlýðý Merkezleri,Alemdað Cad. No:5/1 ATATÜRK/ÜMRANÝYE,0216 443 40 10,,,,,ATATÜRK,41.02440082800007,29.084885781000025
2015,TUZLA,Ýçmeler Þehit Yüksel Taþpýnar Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Seyit Onbaþý Cad. No:28 ÝÇMELER/TUZLA,0216 507 17 91,,Yok,0,,ÝÇMELER,40.84762326800006,29.304867948000037
2016,ESENLER,Ferhatpaþa Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Mehmetçik Sk. No:55 YAVUZ SELÝM/ESENLER,0212 562 25 29,,Yok,0,,YAVUZ SELÝM,41.03540416300007,28.89321232800006
1852,ÜMRANÝYE,Ýmes Dudullu 2 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,OSB E 506. Sk. No:1 ESENÞEHÝR/ÜMRANÝYE,0216 364 33 43,,Yok,0,,ESENÞEHÝR,41.00151622200008,29.160752022000054
1663,ÞÝÞLÝ,Diþ Hekimi Gamze Kütahyalý Parmaksýz,Muayenehane,Abide-i Hürriyet Cad. No:46 MERKEZ/ÞÝÞLÝ,0212 291 69 70,,,,,MERKEZ,41.056669903000056,28.985689660000048
1708,ÜSKÜDAR,Üsküdar Verem Savaþ Dispanseri,Verem Savaþ Dispanseri,Bestekar Selahattin Pýnar Sk. No:17 SALACAK/ÜSKÜDAR,0216 553 13 02,www.istveremsavder.org,,0,Yok,SALACAK,41.01800407400003,29.01193072800004
2049,ATAÞEHÝR,Esatpaþa Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Hacýbekir Cad. No:42 ESATPAÞA/ATAÞEHÝR,0216 324 99 88,,Yok,0,,ESATPAÞA,41.00258510300006,29.08652989500007
1823,KÜÇÜKÇEKMECE,Diþ Hekimi Fevzi Atasoy,Muayenehane,Güray Sk. No:1 SULTAN MURAT/KÜÇÜKÇEKMECE,0212 541 65 09,,,,,SULTAN MURAT,41.002213090000055,28.787731612000073
1810,KAÐITHANE,Talatpaþa Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Zeybek Sk. No: TALATPAÞA/KAÐITHANE,0212 220 81 18,,Yok,0,,TALATPAÞA,41.062384112000075,28.961273944000027
1663,ÞÝÞLÝ,Diþ Hekimi Zühre Okkalý,Muayenehane,Cebel Topu Sk. No:5 ÝNÖNÜ/ÞÝÞLÝ,0212 247 35 15,,,,,ÝNÖNÜ,41.04560732500005,28.985781770000074
1327,FATÝH,Fatih 10 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Sofalý Çeþme Cad. No:98 KARAGÜMRÜK/FATÝH,0212 635 37 97,,Yok,0,,KARAGÜMRÜK,41.02387058700003,28.93543104400004
1421,KADIKÖY,Özel Biruni Laboratuvarý Acýbadem,Laboratuvar Özel,Acýbadem Cad. No:109 ACIBADEM/KADIKÖY,0216 545 72 72,www.biruni.com.tr,,,,ACIBADEM,41.005057306000026,29.045086817000026
1327,FATÝH,Özel Hekimoðlu Görüntülemeve Taný Merkezi,Görüntüleme Merkezi Özel,Turgut Özal Millet Cad. No:71 ÞEHREMÝNÝ/FATÝH,0212 632 10 59 - 60,www.hekimoglugoruntuleme.com,,,,ÞEHREMÝNÝ,41.01211766600005,28.938719869000067
2003,AVCILAR,Yeþilkent 2 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Birlik Cad. No:2 YEÞÝLKENT/AVCILAR,0212 596 49 14,,Yok,0,,YEÞÝLKENT,41.038456017000044,28.70144158000005
2005,BAHÇELÝEVLER,Özel Betatom Emar Görüntüleme ve Taný Merkezi,Görüntüleme Merkezi Özel,Ýzzettin Çalýþlar Cad. No:40 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 557 76 98,www.betatom.com.tr,,,,BAHÇELÝEVLER,41.00077525900008,28.87022994800003
1183,BEÞÝKTAÞ,Özel Levent Ege Polikliniði,Poliklinik Özel,Aytar Cad. No:21 NÝSBETÝYE/BEÞÝKTAÞ,0212 325 40 46,www.egepolestetik.com,Yok,0,,NÝSBETÝYE,41.07522639000007,29.018351336000023
1183,BEÞÝKTAÞ,Sinanpaþa Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Sinanpaþa Köprüsü Sk. No:13 SÝNANPAÞA/BEÞÝKTAÞ,0212 258 58 37,,Yok,0,,SÝNANPAÞA,41.04288377900008,29.00301027000006
1336,GAZÝOSMANPAÞA,Özel Dentista Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Aralýk Sk. No:122B SARIGÖL/GAZÝOSMANPAÞA,0212 417 18 48,www.dentistadis.com,,0,,SARIGÖL,41.057831183000076,28.92028082400003
1708,ÜSKÜDAR,Özel Kaanmed Týbbi Tahlil Laboratuvarý,Laboratuvar Özel,Cömert Sk. No:4 KISIKLI/ÜSKÜDAR,0216 523 31 70,www.toksilab.com,,,,KISIKLI,41.02307918100007,29.072079509000048
1183,BEÞÝKTAÞ,Özel Nöropsikiyatri Saðlýk Uygulama ve Araþtýrma Merkezi Etiler Polikliniði,Poliklinik Özel,Nisbetiye Cad. No:19 LEVENT/BEÞÝKTAÞ,0212 270 12 92,www.npistanbul.com,Yok,0,,LEVENT,41.076327486000025,29.020235730000024
1336,GAZÝOSMANPAÞA,Þükriye Kaan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,General Aldoðan Cad. No:76A KARADENÝZ/GAZÝOSMANPAÞA,0212 618 03 08,,Yok,0,,KARADENÝZ,41.07984300000004,28.88708500000007
1336,GAZÝOSMANPAÞA,Kaan Optik,Optik,621. Sk. No:11A KARAYOLLARI/GAZÝOSMANPAÞA,0212 538 58 68,,,,,KARAYOLLARI,41.087201924000055,28.897517254000036
1183,BEÞÝKTAÞ,Özel Wonderdent Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Selvili Sk. No:5 KONAKLAR/BEÞÝKTAÞ,0212 280 16 16,www.wonderdent.com,,,,KONAKLAR,41.08645152100007,29.008341388000076
1336,GAZÝOSMANPAÞA,Gaziosmanpaþa Toplum Saðlýðý Merkezi,Toplum Saðlýðý Merkezi,Abdi Ýpekçi Cad. KARAYOLLARI/GAZÝOSMANPAÞA,0212 618 03 16,www.istanbulhalksagligi.gov.tr,,,Yok,KARAYOLLARI,41.08593022000008,28.90544438300003
1336,GAZÝOSMANPAÞA,Uður Optik,Optik,537. Sk. No:4 C YENÝ MAHALLE/GAZÝOSMANPAÞA,0212 538 98 00,,,,,YENÝ MAHALLE,41.07369157800008,28.903700189000062
1183,BEÞÝKTAÞ,Dog Cat Veteriner Kliniði,Veteriner,Manolya Sk. No:6 BEBEK/BEÞÝKTAÞ,0532 254 83 06,,,0,Yok,BEBEK,41.07756972300007,29.042844755000033
1336,GAZÝOSMANPAÞA,Melisa Optik,Optik,Ýstanbul Cad. No:93 FEVZÝ ÇAKMAK/GAZÝOSMANPAÞA,0212 479 85 34,,,,,FEVZÝ ÇAKMAK,41.07004497600008,28.90739671700004
1183,BEÞÝKTAÞ,Beþiktaþ Veteriner Kliniði,Veteriner,Mýsýrlýbahçe Sk. No:10 TÜRKALÝ/BEÞÝKTAÞ,0212 259 31 88,,,0,Yok,TÜRKALÝ,41.04497383300003,29.002450001000057
1166,BAKIRKÖY,Özel Acýbadem Hastanesi Bakýrköy,Özel Hastane,Halit Ziya Uþaklýgil Cad. No:1 ZEYTÝNLÝK/BAKIRKÖY,0212 414 44 44,www.acibadem.com.tr,Var,102,Var,ZEYTÝNLÝK,40.977644465000026,28.87272931600006
1739,ZEYTÝNBURNU,Özel Yedikule Nöropsikiyatri Týp Merkezi,Týp Merkezi Özel,Balýklý Kazlýçeþme Yolu Sk. No:63A TELSÝZ/ZEYTÝNBURNU,0212 510 74 10,www.yedikulepsikiyatrimerkezim.com,Yok,,Var,TELSÝZ,40.99955926000007,28.91563711200007
2004,BAÐCILAR,Özel Dolunay Saðlýk Hizmetleri,Saðlýk Kabini Özel,Güngören Cad. No:4 MERKEZ/BAÐCILAR,0212 461 70 73 - 0212 461 90 77,www.hamdikalyoncu.com,,,,MERKEZ,41.033088347000046,28.86332027800006
2005,BAHÇELÝEVLER,Diþ Hekimi Mehmet Takunyacý,Muayenehane,Ferit Selimpaþa Cad. No:9A SÝYAVUÞPAÞA/BAHÇELÝEVLER,0212 441 23 32,,,,,SÝYAVUÞPAÞA,41.00185780900006,28.860085867000066
2012,MALTEPE,Diþ Hekimi Ulaþ Kar,Muayenehane,Eski Üsküdar Cad. No:51B GÜLSUYU/MALTEPE,0216 427 44 77,,,,,GÜLSUYU,40.92789916300006,29.158459054000048
2014,SULTANBEYLÝ,Altýntepe Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Fedai Sk. No:2 BATTALGAZÝ/SULTANBEYLÝ,0216 592 77 74,,Yok,0,,BATTALGAZÝ,40.98472251600003,29.27852265200005
2014,SULTANBEYLÝ,Özel Aydosdiþ Aðýz ve Diþ Saðlýðý Merkezi,Özel Aðýz Diþ Saðlýðý Merkezleri,Cihan Cad. No:31 ORHANGAZÝ/SULTANBEYLÝ,0216 487 28 10,www.aydosdis.com,,,,ORHANGAZÝ,40.938203599000076,29.28570043900004
2048,ARNAVUTKÖY,Arnavutköy Devlet Hastanesi Hadýmköy Semt Polikliniði,Poliklinik,Çarþamba Sk. No:3 HADIMKÖY/ARNAVUTKÖY,0212 771 13 34,www.arnavutkoydh.gov.tr,Yok,0,,HADIMKÖY,41.15631985400006,28.624864942000045
2012,MALTEPE,Özel Cebeci Dental Diþ Laboratuvarý,Diþ Laboratuvarý,Beþevler Sk. No:7 BAÐLARBAÞI/MALTEPE,0216 399 90 80,,,,,BAÐLARBAÞI,40.92525786500005,29.132383048000065
2012,MALTEPE,Maltepe 22 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Servet Sk. FINDIKLI/MALTEPE,0216 574 02 07,,Yok,0,,FINDIKLI,40.964422196000044,29.12130936500006
2055,SULTANGAZÝ,Özel Gazi Hastanesi,Özel Hastane,1406. Sk. No:27 YUNUS EMRE/SULTANGAZÝ,0212 650 18 19,www.gazihastanesi.com.tr,Var,29,Var,YUNUS EMRE,41.10103116200003,28.89866197300006
2055,SULTANGAZÝ,Kaan Optik,Optik,Orhan Gazi Cad. No:82 50. YIL/SULTANGAZÝ,0212 594 39 59,,,,,50. YIL,41.09236509200008,28.87027875700005
2055,SULTANGAZÝ,Yayla Asef Çoban Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Yayla Bulvarý No:71A YAYLA/SULTANGAZÝ,0212 595 21 24,,Yok,0,,YAYLA,41.148487732000035,28.852089772000056
2012,MALTEPE,Maltepe Belediye Baþkanlýðý Ek Hizmet Binasý Polikliniði,Poliklinik,Hendek Çýkmazý FEYZULLAH/MALTEPE,0216 388 09 59,,Yok,0,,FEYZULLAH,40.93498618600006,29.122849188000032
2014,SULTANBEYLÝ,Ali Mehmet Ceylan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kandýra Sk. No:23 AKÞEMSETTÝN/SULTANBEYLÝ,0216 487 61 64,,Yok,0,,AKÞEMSETTÝN,40.94854908600007,29.29838194900003
2054,SANCAKTEPE,Osmangazi Taþpýnar Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Karayaðýz Sk. No:55 OSMANGAZÝ/SANCAKTEPE,0216 561 09 09,,Yok,0,,OSMANGAZÝ,40.991151900000034,29.245779311000035
1336,GAZÝOSMANPAÞA,Diþ Hekimi Derya Öznam,Muayenehane,1034. Sk. No:34A BARBAROS HAYRETTÝN PAÞA/GAZÝOSMANPAÞA,0212 537 99 74,,,,,BARBAROS HAYRETTÝN PAÞA,41.07488862300005,28.888386639000032
1336,GAZÝOSMANPAÞA,Özel Naturadent Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Eski Edirne Asfaltý No:11 HÜRRÝYET/GAZÝOSMANPAÞA,0212 535 95 30,www.naturaldent.com.tr,,,,HÜRRÝYET,41.06267496900006,28.901991217000045
1336,GAZÝOSMANPAÞA,Net Optik,Optik,Morlale Sk. No:51 MERKEZ/GAZÝOSMANPAÞA,0212 578 06 08,,,,,MERKEZ,41.05900355700004,28.907906861000072
1166,BAKIRKÖY,Özel Bilson Radyoloji Merkezi,Özel Taný Tedavi Merkezleri,Yüce Tarla Cad. No:29 ZUHURATBABA/BAKIRKÖY,0212 660 38 80,www.bilsonm.com,,0,,ZUHURATBABA,40.986094294000054,28.868412015000047
2005,BAHÇELÝEVLER,Soðanlý Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Habib Özhan Sk. No:12A SOÐANLI/BAHÇELÝEVLER,0212 555 34 34,,Yok,0,,SOÐANLI,41.008574269000064,28.848423296000078
2003,AVCILAR,Denizköþkler Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Muhtar Kazým Akgül Cad. No:36 DENÝZKÖÞKLER/AVCILAR,0212 509 33 92,,Yok,0,,DENÝZKÖÞKLER,40.977195006000045,28.738183985000035
2005,BAHÇELÝEVLER,Aydýn Üniversitesi Aðýz ve Diþ Saðlýðý Merkezi,Üniversite Hastanesi,Ýzzettin Çalýþlar Cad. No:2 BAHÇELÝEVLER/BAHÇELÝEVLER,444 83 47,www.dentaydin.com,Yok,0,Yok,BAHÇELÝEVLER,41.001714098000036,28.87099381200005
2005,BAHÇELÝEVLER,Diþ Hekimi Salman Temtek,Muayenehane,Öner Sk. No:1 SOÐANLI/BAHÇELÝEVLER,0212 642 70 20,,,,,SOÐANLI,41.007460139000045,28.849322162000078
1166,BAKIRKÖY,Özel Atriyum Kardiyoloji Merkezi,Poliklinik Özel,Bildik Sk. No:8 OSMANÝYE/BAKIRKÖY,0212 660 05 00,,Yok,3,,OSMANÝYE,40.99242666300006,28.88121549600004
1663,ÞÝÞLÝ,Þiþli 15 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Erdem Sk. No:3 YAYLA/ÞÝÞLÝ,0212 230 82 34,,Yok,0,,YAYLA,41.05027697000003,28.97804578000006
1823,KÜÇÜKÇEKMECE,Biruni Üniversitesi Týp Fakültesi Hastanesi,Üniversite Hastanesi,Eski Londra Asfaltý Bulvarý No:10 BEÞYOL/KÜÇÜKÇEKMECE,0212 411 39 00,www.birunihastanesi.com.tr,Var,,Var,BEÞYOL,40.98875245200003,28.796307256000034
1421,KADIKÖY,2D Ortopedi,Medikal,Bostan Tariki Sk. No:120 BOSTANCI/KADIKÖY,0216 380 20 44,,,,,BOSTANCI,40.95675332500008,29.098128209000038
2053,ESENYURT,Esenyurt Verem Savaþ Dispanseri,Verem Savaþ Dispanseri,1131. Sk. No:1/2 BAÐLARÇEÞME/ESENYURT,0212 450 18 92,,,0,Yok,BAÐLARÇEÞME,41.038909199000045,28.676444563000075
1708,ÜSKÜDAR,Yunus Emre Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Mehmet Akif Ersoy Cad. No:41 KÝRAZLITEPE/ÜSKÜDAR,0216 321 95 61,,Yok,0,,KÝRAZLITEPE,41.03852558300008,29.058078773000034
1421,KADIKÖY,Kadýköy 12 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Merdivenköy Cad. No:25 MERDÝVENKÖY/KADIKÖY,0216 565 21 91,,Yok,0,,MERDÝVENKÖY,40.987652128000036,29.06438289600004
1823,KÜÇÜKÇEKMECE,Özel Aras Kadýn Hastalýklarý Merkezi,Kadýn Hastalýklarý ve Saðlýðý Merkezi Özel,Reyhan Cad. No:2A YEÞÝLOVA/KÜÇÜKÇEKMECE,0212 540 77 41 - 0212 425 45 40,,,0,,YEÞÝLOVA,40.99275873000005,28.785327600000073
1708,ÜSKÜDAR,ÝBB Evde Saðlýk Hizmetleri,Evde Bakým Merkezleri,Dr. Burhanettin Üstünel Sk. No:2/2 ZEYNEP KAMÝL/ÜSKÜDAR,0216 486 56 40,www.ibb.gov.tr,,0,Yok,ZEYNEP KAMÝL,41.013855885000055,29.024449170000025
1421,KADIKÖY,Özel Dent Avrasya Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Þemsettin Günaltay Cad. No:49 SUADÝYE/KADIKÖY,0216 362 77 77,www.dentavrasya.com,,,,SUADÝYE,40.96206134400006,29.091495231000067
1421,KADIKÖY,Bnc Veteriner Kliniði,Veteriner,Oral Sk. No:15 19 MAYIS/KADIKÖY,0216 380 03 83,,,0,Yok,19 MAYIS,40.96769553000007,29.087852825000027
2049,ATAÞEHÝR,Özel Allianoi Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Efe Sk. No:7 KÜÇÜKBAKKALKÖY/ATAÞEHÝR,0216 576 40 40,www.allianoi.com,,,,KÜÇÜKBAKKALKÖY,40.986930794000045,29.11073086300007
2005,BAHÇELÝEVLER,Dr. Fevzi Özgönül Muayenehanesi,Muayenehane,Neyire Neyir Sk. No:19 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 553 35 02 - 0533 206 23 66,www.drfevziozgonul.com,,,,BAHÇELÝEVLER,41.00060913600004,28.874938405000023
2005,BAHÇELÝEVLER,Altýnyýldýz Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Okul 2 Sk. No:27 YENÝBOSNA MERKEZ/BAHÇELÝEVLER,0212 551 20 00,,Yok,0,,YENÝBOSNA MERKEZ,41.00702557000005,28.820242019000034
2005,BAHÇELÝEVLER,Özel Uçar Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Mimar Sinan Cad. No:1A SOÐANLI/BAHÇELÝEVLER,0212 556 67 82,,,,,SOÐANLI,41.01427519300006,28.85651398300007
2003,AVCILAR,Firuzköy Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Hasan Önel Cad. No:51/2A FÝRUZKÖY/AVCILAR,0212 690 15 85,,Yok,0,,FÝRUZKÖY,41.009062533000076,28.710499801000026
1336,GAZÝOSMANPAÞA,Fatma Býyýklý Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Namýk Kemal Cad. No:38 KARADENÝZ/GAZÝOSMANPAÞA,0212 618 03 85,,Yok,0,,KARADENÝZ,41.07823851000006,28.880752013000063
1183,BEÞÝKTAÞ,Özel Dizayn Milling Center Diþ Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Selamlýk Cad. No:32 CÝHANNÜMA/BEÞÝKTAÞ,0212 327 10 00,www.dizaynmilling.com,,,,CÝHANNÜMA,41.04529014600007,29.005668343000025
1183,BEÞÝKTAÞ,Özel Dr. Ayþegül Saltat Polikliniði,Poliklinik Özel,Lale Sk. No:16 LEVENT/BEÞÝKTAÞ,0212 284 66 55,www.aysegulsaltat.com,Yok,0,,LEVENT,41.07801668500008,29.016963227000076
1183,BEÞÝKTAÞ,Özel Tunç Polikliniði,Poliklinik Özel,Esra Sk. No:2A KÜLTÜR/BEÞÝKTAÞ,0212 287 01 00,,Yok,0,,KÜLTÜR,41.07634042700005,29.028554160000056
1183,BEÞÝKTAÞ,Özel Radyotom Saðlýk Hizmetleri,Görüntüleme Merkezi Özel,Büyükdere Cad. No:154 LEVENT/BEÞÝKTAÞ,0212 325 41 57,www.radyotom.com.tr,,,,LEVENT,41.07716928900004,29.01441969900003
1336,GAZÝOSMANPAÞA,Avrupa Optik,Optik,Eski Edirne Asfaltý No:146 HÜRRÝYET/GAZÝOSMANPAÞA,0212 535 50 55,,,,,HÜRRÝYET,41.066522828000075,28.898468154000057
1336,GAZÝOSMANPAÞA,Mena Optik,Optik,255. Sk. No:11 HÜRRÝYET/GAZÝOSMANPAÞA,0212 568 00 90,,,,,HÜRRÝYET,41.065640949000056,28.900390621000042
1183,BEÞÝKTAÞ,Özel Biruni Etiler Laboratuvarý,Laboratuvar Özel,Tepecik Yolu No:28/1 ETÝLER/BEÞÝKTAÞ,0212 358 51 00,www.biruni.com.tr,,,,ETÝLER,41.08137719100006,29.030435358000034
1183,BEÞÝKTAÞ,Özel Lotüs Polikliniði,Poliklinik Özel,Yýldýz Posta Cad. No:30 GAYRETTEPE/BEÞÝKTAÞ,0212 274 42 74,,Yok,0,,GAYRETTEPE,41.06603568400004,29.00730093800007
1336,GAZÝOSMANPAÞA,Bülent Optik,Optik,Çimentepe Sk. No:54B SARIGÖL/GAZÝOSMANPAÞA,0212 417 88 50,,,,,SARIGÖL,41.05750076700008,28.917895341000076
1336,GAZÝOSMANPAÞA,Özel Gaziosmanpaþa Veteriner Kliniði,Veteriner,Eflak Sk. No:2 MERKEZ/GAZÝOSMANPAÞA,0212 417 88 92,,,0,Yok,MERKEZ,41.05826015300005,28.909849991000044
1336,GAZÝOSMANPAÞA,Özel Bilçek Görüntüleme Merkezi,Görüntüleme Merkezi Özel,Cicoz Yolu Cad. MERKEZ/GAZÝOSMANPAÞA,0212 418 10 00,www.bilcek.com,,,,MERKEZ,41.05590525500003,28.90912528800004
1183,BEÞÝKTAÞ,Özel Transmed Týp Merkezi,Týp Merkezi Özel,Fulyalý Sk. No:7 LEVENT/BEÞÝKTAÞ,0212 281 13 00,www.transmed.com.tr,Var,,Yok,LEVENT,41.085031912000034,29.017494261000024
