_id,NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
66,Abdullah Tukay Parkı,28.9393369949541004,41.0164572799849978,MOLLA GÜRANİ,FATİH
67,Fatih Parkı,28.9182660728326013,41.0349140558980991,ORTA,BAYRAMPAŞA
68,Uğur Mumcu Parkı,28.9145999783068,41.0312246022556977,ORTA,BAYRAMPAŞA
69,Şehit Cehar Dudayev Parkı,28.8847334513324014,41.0725147674279967,CEVATPAŞA,BAYRAMPAŞA
70,Deniz Bingöller Parkı,28.893214513823299,40.9870505871935009,SÜMER,ZEYTİNBURNU
71,Çiçek Parkı,28.913014595815099,41.0039859730025,TELSİZ,ZEYTİNBURNU
72,Günbattı Parkı,29.0742934737156986,41.0342013492618989,FERAH,ÜSKÜDAR
73,Ramazan Efendi Parkı,28.9320459609585008,41.0052621456038011,SİLİVRİKAPI,FATİH
74,Kantarcılar Camii Yanı Parkı,28.965585618330401,41.0187931091745028,SARIDEMİR,FATİH
75,Keyci Hatun Parkı,28.9427981350353001,41.0078067374141995,CERRAHPAŞA,FATİH
76,Selçuk Sultan Parkı,28.9447118947272983,41.0116411024386025,MOLLA GÜRANİ,FATİH
77,Dr. Ahmet Zeki Velidi Togan Parkı,28.9614204406199995,41.0105655979425023,BALABANAĞA,FATİH
78,Bayrampaşa Şehir Parkı,28.8875370810966992,41.0618812990570987,YILDIRIM,BAYRAMPAŞA
79,Şişhane Parkı,28.9694066018159013,41.0282407157313997,BEDRETTİN,BEYOĞLU
80,Sütlüce-2 Parkı,28.9465651142473988,41.0547189141773003,SÜTLÜCE,BEYOĞLU
81,Nilufer Parkı,28.9483189470266993,41.0631195062891976,ÖRNEKTEPE,BEYOĞLU
82,Okmeydanı Semt Konağı Parkı,28.9605670861276003,41.0493566190137003,PİYALEPAŞA,BEYOĞLU
83,Sururi Parkı,28.9715219143476013,41.0373412439298022,SURURİ MEHMET EFENDİ,BEYOĞLU
84,Ferit Güleryüz Parkı,28.974240557416401,41.0412833091614999,HACIAHMET,BEYOĞLU
85,Kayalı Bahçe Parkı,28.7892434811942017,40.972911091630003,BASINKÖY,BAKIRKÖY
86,Çıksalın Kudüm Sokağı Parkı,28.9487551838781982,41.0473988144483002,HALICIOĞLU,BEYOĞLU
87,Park,28.682133325091101,41.021157305160898,ZAFER,ESENYURT
88,Akasya Koru Evleri Parkı,29.0549023281070014,41.0032661172740021,ACIBADEM,ÜSKÜDAR
89,Park,29.1293863310668009,40.9894904068646966,ATATÜRK,ATAŞEHİR
